?prop,?propLabel,?oCount
<http://www.wikidata.org/entity/P4511>,"""vertical depth""@en",1832
<http://www.wikidata.org/entity/P2344>,"""AGORHA work ID""@en",1821
<http://www.wikidata.org/entity/P8599>,"""Nelson-Atkins Museum of Art artwork ID""@en",1783
<http://www.wikidata.org/entity/P6374>,"""MAM artwork ID""@en",1750
<http://www.wikidata.org/entity/P179>,"""part of the series""@en",1750
<http://www.wikidata.org/entity/P2511>,"""MSK Gent work PID""@en",1709
<http://www.wikidata.org/entity/P5265>,"""Dordrechts Museum artwork ID""@en",1661
<http://www.wikidata.org/entity/P8910>,"""Fitzwilliam Museum ID""@en",1659
<http://www.wikidata.org/entity/P4969>,"""derivative work""@en",1540
<http://www.wikidata.org/entity/P9092>,"""Art in the Christian Tradition ID""@en",1533
<http://www.wikidata.org/entity/P9942>,"""National Gallery Prague work ID""@en",1469
<http://www.wikidata.org/entity/P3293>,"""BALaT object ID""@en",1424
<http://www.wikidata.org/entity/P8640>,"""Dallas Museum of Art ID""@en",1379
<http://www.wikidata.org/entity/P2581>,"""BabelNet ID""@en",1303
<http://www.wikidata.org/entity/P5407>,"""MHK object ID""@en",1294
<http://www.wikidata.org/entity/P88>,"""commissioned by""@en",1255
<http://www.wikidata.org/entity/P10779>,"""Collection Hermann Göring DB ID""@en",1251
<http://www.wikidata.org/entity/P7984>,"""depicted format""@en",1223
<http://www.wikidata.org/entity/P9167>,"""De Lakenhal artwork ID""@en",1192
<http://www.wikidata.org/entity/P8959>,"""Georgia Museum of Art ID""@en",1183
<http://www.wikidata.org/entity/P3783>,"""Christie's object ID""@en",1116
<http://www.wikidata.org/entity/P11591>,"""Museu Paulista iconography ID""@en",1052
<http://www.wikidata.org/entity/P10312>,"""AAGM artwork ID""@en",1014
<http://www.wikidata.org/entity/P2043>,"""length""@en",1010
<http://www.wikidata.org/entity/P6595>,"""Paintings by Salvador Dalí ID""@en",1001
<http://www.wikidata.org/entity/P3931>,"""copyright holder""@en",999
<http://www.wikidata.org/entity/P10039>,"""Musées Nationaux Recuperation ID""@en",975
<http://www.wikidata.org/entity/P4709>,"""Barnes Foundation ID""@en",967
<http://www.wikidata.org/entity/P2282>,"""Groeningemuseum work PID""@en",934
<http://www.wikidata.org/entity/P9132>,"""Saint Louis Art Museum artwork ID""@en",912
<http://www.wikidata.org/entity/P527>,"""has part(s)""@en",878
<http://www.wikidata.org/entity/P1433>,"""published in""@en",864
<http://www.wikidata.org/entity/P2348>,"""time period""@en",860
<http://www.wikidata.org/entity/P856>,"""official website""@en",811
<http://www.wikidata.org/entity/P4740>,"""Brooklyn Museum artwork ID""@en",767
<http://www.wikidata.org/entity/P2561>,"""name""@en",696
<http://www.wikidata.org/entity/P3893>,"""public domain date""@en",677
<http://www.wikidata.org/entity/P577>,"""publication date""@en",663
<http://www.wikidata.org/entity/P3272>,"""Zeri image ID""@en",632
<http://www.wikidata.org/entity/P625>,"""coordinate location""@en",631
<http://www.wikidata.org/entity/P189>,"""location of discovery""@en",612
<http://www.wikidata.org/entity/P6786>,"""National Library of Wales Catalogue ID""@en",610
<http://www.wikidata.org/entity/P1417>,"""Encyclopædia Britannica Online ID""@en",599
<http://www.wikidata.org/entity/P2242>,"""Florentine musea catalogue ID""@en",593
<http://www.wikidata.org/entity/P6506>,"""Eliseu Visconti Project ID""@en",589
<http://www.wikidata.org/entity/P6002>,"""WikiArt ID""@en",582
<http://www.wikidata.org/entity/P4737>,"""Solomon R. Guggenheim Foundation artwork ID""@en",575
<http://www.wikidata.org/entity/P1705>,"""native label""@en",553
<http://www.wikidata.org/entity/P2386>,"""diameter""@en",541
<http://www.wikidata.org/entity/P4713>,"""Walters Art Museum ID""@en",530
<http://www.wikidata.org/entity/P1726>,"""Florentine musea Inventario 1890 ID""@en",530
<http://www.wikidata.org/entity/P6355>,"""MNAM artwork ID""@en",525
<http://www.wikidata.org/entity/P6631>,"""Tainacan MHN ID""@en",502
<http://www.wikidata.org/entity/P8574>,"""NYARC Discovery ID""@en",483
<http://www.wikidata.org/entity/P2408>,"""set in period""@en",478
<http://www.wikidata.org/entity/P2582>,"""J. Paul Getty Museum object ID""@en",438
<http://www.wikidata.org/entity/P6323>,"""Centre Pompidou ID""@en",437
<http://www.wikidata.org/entity/P8962>,"""PBA artwork ID""@en",431
<http://www.wikidata.org/entity/P972>,"""catalog""@en",424
<http://www.wikidata.org/entity/P5524>,"""horizontal depth""@en",419
<http://www.wikidata.org/entity/P1260>,"""Swedish Open Cultural Heritage URI""@en",410
<http://www.wikidata.org/entity/P4761>,"""Images d'Art artwork ID""@en",385
<http://www.wikidata.org/entity/P941>,"""inspired by""@en",363
<http://www.wikidata.org/entity/P156>,"""followed by""@en",344
<http://www.wikidata.org/entity/P485>,"""archives at""@en",333
<http://www.wikidata.org/entity/P1419>,"""shape""@en",328
<http://www.wikidata.org/entity/P989>,"""spoken text audio""@en",295
<http://www.wikidata.org/entity/P9787>,"""Smartify artwork ID""@en",292
<http://www.wikidata.org/entity/P6565>,"""Musenor artwork ID""@en",292
<http://www.wikidata.org/entity/P8924>,"""State Catalogue of the Museum Fund of Russia artwork ID""@en",269
<http://www.wikidata.org/entity/P1877>,"""after a work by""@en",267
<http://www.wikidata.org/entity/P9051>,"""ICCD cultural heritage ID""@en",256
<http://www.wikidata.org/entity/P462>,"""color""@en",252
<http://www.wikidata.org/entity/P227>,"""GND ID""@en",247
<http://www.wikidata.org/entity/P4739>,"""Musée des Augustins artwork ID (former scheme)""@en",245
<http://www.wikidata.org/entity/P6663>,"""Utpictura18 artwork ID""@en",232
<http://www.wikidata.org/entity/P6606>,"""study or design for""@en",226
<http://www.wikidata.org/entity/P9403>,"""Musée national de la Marine ID""@en",225
<http://www.wikidata.org/entity/P4582>,"""Kulturelles Erbe Köln object ID""@en",222
<http://www.wikidata.org/entity/P3417>,"""Quora topic ID""@en",218
<http://www.wikidata.org/entity/P214>,"""VIAF ID""@en",213
<http://www.wikidata.org/entity/P9095>,"""Kunstmuseum Basel ID""@en",213
<http://www.wikidata.org/entity/P1669>,"""Cultural Objects Names Authority ID""@en",202
<http://www.wikidata.org/entity/P10093>,"""image with color chart""@en",195
<http://www.wikidata.org/entity/P2634>,"""model""@en",194
<http://www.wikidata.org/entity/P6004>,"""Brasiliana Iconográfica ID""@en",190
<http://www.wikidata.org/entity/P9495>,"""National Historical Museums of Sweden ID""@en",185
<http://www.wikidata.org/entity/P7417>,"""image of backside""@en",171
<http://www.wikidata.org/entity/P50>,"""author""@en",168
<http://www.wikidata.org/entity/P9789>,"""Yale Center for British Art artwork Lido ID""@en",167
<http://www.wikidata.org/entity/P4275>,"""Japanese Database of National important cultural properties""@en",166
<http://www.wikidata.org/entity/P268>,"""Bibliothèque nationale de France ID""@en",158
<http://www.wikidata.org/entity/P4839>,"""Wolfram Language entity code""@en",156
<http://www.wikidata.org/entity/P7229>,"""Fundación Goya en Aragón ID""@en",155
<http://www.wikidata.org/entity/P138>,"""named after""@en",155
<http://www.wikidata.org/entity/P5891>,"""Bpk-ID""@en",154
<http://www.wikidata.org/entity/P7457>,"""creator's signature""@en",138
<http://www.wikidata.org/entity/P1448>,"""official name""@en",138
<http://www.wikidata.org/entity/P2284>,"""price""@en",137
<http://www.wikidata.org/entity/P2913>,"""date depicted""@en",137
<http://www.wikidata.org/entity/P155>,"""follows""@en",136
<http://www.wikidata.org/entity/P1680>,"""subtitle""@en",135
<http://www.wikidata.org/entity/P4313>,"""musée de Bretagne identifiant collections ID""@en",130
<http://www.wikidata.org/entity/P953>,"""full work available at URL""@en",122
<http://www.wikidata.org/entity/P8335>,"""Uffizi artwork ID""@en",120
<http://www.wikidata.org/entity/P6489>,"""Joan Miró Online Image Bank ID""@en",113
<http://www.wikidata.org/entity/P3855>,"""LombardiaBeniCulturali artwork ID""@en",111
<http://www.wikidata.org/entity/P1428>,"""Lost Art ID""@en",105
<http://www.wikidata.org/entity/P6375>,"""street address""@en",103
<http://www.wikidata.org/entity/P6625>,"""Salvador Dali Museum ID""@en",103
<http://www.wikidata.org/entity/P244>,"""Library of Congress authority ID""@en",99
<http://www.wikidata.org/entity/P275>,"""copyright license""@en",97
<http://www.wikidata.org/entity/P4399>,"""Itaú Cultural ID""@en",96
<http://www.wikidata.org/entity/P5950>,"""São Paulo: os estrangeiros e a construção da cidade ID""@en",95
<http://www.wikidata.org/entity/P11592>,"""Museu Paulista objects ID""@en",94
<http://www.wikidata.org/entity/P123>,"""publisher""@en",93
<http://www.wikidata.org/entity/P10461>,"""Dumbarton Oaks object ID""@en",92
<http://www.wikidata.org/entity/P1299>,"""depicted by""@en",88
<http://www.wikidata.org/entity/P460>,"""said to be the same as""@en",87
<http://www.wikidata.org/entity/P2681>,"""is recto of""@en",84
<http://www.wikidata.org/entity/P10293>,"""Tretyakov Gallery work ID""@en",83
<http://www.wikidata.org/entity/P2682>,"""is verso of""@en",80
<http://www.wikidata.org/entity/P6356>,"""IHOI work ID""@en",74
<http://www.wikidata.org/entity/P840>,"""narrative location""@en",73
<http://www.wikidata.org/entity/P6332>,"""Panorama de l'art ID""@en",72
<http://www.wikidata.org/entity/P10565>,"""Encyclopedia of China (Third Edition) ID""@en",72
<http://www.wikidata.org/entity/P269>,"""IdRef ID""@en",70
<http://www.wikidata.org/entity/P6020>,"""d'Art d'Art ! ID""@en",66
<http://www.wikidata.org/entity/P4380>,"""Sandrart.net artwork ID""@en",62
<http://www.wikidata.org/entity/P6405>,"""Smarthistory ID""@en",60
<http://www.wikidata.org/entity/P3929>,"""V&A item ID""@en",60
<http://www.wikidata.org/entity/P1259>,"""coordinates of the point of view""@en",59
<http://www.wikidata.org/entity/P6610>,"""Ashmolean museum ID""@en",57
<http://www.wikidata.org/entity/P6358>,"""Musée Picasso artwork ID""@en",54
<http://www.wikidata.org/entity/P6802>,"""related image""@en",53
<http://www.wikidata.org/entity/P2093>,"""author name string""@en",53
<http://www.wikidata.org/entity/P935>,"""Commons gallery""@en",53
<http://www.wikidata.org/entity/P6291>,"""advertises""@en",53
<http://www.wikidata.org/entity/P2596>,"""culture""@en",51
<http://www.wikidata.org/entity/P3504>,"""Florentine Inventario Palatina art ID""@en",51
<http://www.wikidata.org/entity/P737>,"""influenced by""@en",48
<http://www.wikidata.org/entity/P585>,"""point in time""@en",48
<http://www.wikidata.org/entity/P4686>,"""Carnegie Museum of Art ID""@en",47
<http://www.wikidata.org/entity/P8189>,"""National Library of Israel J9U ID""@en",46
<http://www.wikidata.org/entity/P740>,"""location of formation""@en",45
<http://www.wikidata.org/entity/P910>,"""topic's main category""@en",43
<http://www.wikidata.org/entity/P6301>,"""The Armory Show at 100 ID""@en",43
<http://www.wikidata.org/entity/P1326>,"""latest date""@en",41
<http://www.wikidata.org/entity/P5528>,"""Belgian Heritage in Brazil ID""@en",41
<http://www.wikidata.org/entity/P3342>,"""significant person""@en",41
<http://www.wikidata.org/entity/P166>,"""award received""@en",40
<http://www.wikidata.org/entity/P6877>,"""MAHG ID""@en",38
<http://www.wikidata.org/entity/P6633>,"""Cini Foundation ID""@en",37
<http://www.wikidata.org/entity/P6979>,"""SLNSW unpublished item ID""@en",37
<http://www.wikidata.org/entity/P1814>,"""name in kana""@en",37
